Venue Name,Venue Address 1,Venue Address 2,Venue Address 3,Venue Address 4,Venue Postcode,Website
Wagamama Restaurant,Upper dining terrace,Trinity walk,Trinity leeds shopping centre,Leeds,LS1 5AY,http://www.wagamama.com/
The Packhorse,Packhorse Yard,Briggate,Leeds,,LS1 6AT,
Mrs Atha's,10 Central Road,Leeds,,,LS1 6DE,http://mrsathasleeds.com/
LS6 Cafe,16 Headingley Lane,Leeds,,,LS6 2AS,http://www.ls6cafe.com/
The Wrens Hotel,61A New Briggate,Leeds,,,LS2 8JD,http://www.thewrenshotel.co.uk/
Holbeck WMC,Holbeck WMC,Jenkinson Lawn,Holbeck,,LS11 9QX,http://holbeckwmc.moonfruit.com/
The Alchemist,Level 1,Trinity Leeds,,,LS1 6HW,http://www.thealchemist.uk.com
The Botanist,Trinity,Leeds,,,LS1 6HW ,http://www.thebotanist.uk.com
Carluccios,Trinity Leeds,Albion Street,Leeds,,LS1 5AT,http://www.carluccios.com
Handmade Burger Co,Trinity Leeds,Trinity East,Leeds,,LS1 5ER,http://handmadeburger.co.uk/
Giraffe,414 Trinity Leeds,Albion Street,Leeds,,LS1 5AY,http://www.giraffe.net/
The Fleece,Westgate,Otley,West Yorkshire,,LS21 3DT,http://www.otleypubclub.co.uk/otley-pubs-present/the-fleece
Greedy Pig,"58, North Street",Leeds,,,LS2 7PN,
David Street Cafe,109 Water Lane,Leeds,,,LS11 5WD,
Calverley Fish Shop,80 Thornhill Street,Calverley,Leeds,,LS28 5PD,
Littlemoor Fish and Chips,143 Littlemoor Road,Pudsey,,,LS28 8AP,
Baracoa Luxe Bar,52 Call Lane,Leeds,West Yorkshire,,LS1 6DT,https://www.facebook.com/BaracoaLuxeBar/info/?tab=page_info
The Hop,The Dark Arches,Granary Wharf,Neville Street,,LS1 4BR,http://www.thehop-leeds.co.uk/
Cielo Blanco,Trinity,Albion Street,Leeds,,LS1 5AT,http://www.cieloblanco.co.uk
Pickled Pepper,The Round Foundry,105 Water Lane,Leeds,,LS11 5WH,http://pickledpepperleeds.co.uk/
Crafthouse,Level 5,Trinity,Boar Lane,Leeds,LS16HW,http://www.crafthouse-restaurant.com
Angelica,Level 6,Trinity,Boar Lane,Leeds,LS1 6HW,http://www.angelica-restaurant.com/
Costa Coffee Woodhouse Lane,42/44 Woodhouse Lane,Leeds,,,LS2 8LX,http://www.costa.co.uk/
Alfred,6 Stonegate Road,Meanwood,Leeds,,LS6 4HY,http://northbar.com/alfred
Cafe Lux,Pudsey Wellbeing Centre,Robin Lane,Pudsey,,LS28 7BR,http://www.pudseywellbeingcentre.com
The Arch Cafe,Bradbury Building,Mark Lane,Leeds,,LS2 8JA,http://www.thearchcafeleeds.co.uk/
The 1875 Restaurant,1st Floor Menston Railway Station,Station Road,Leeds,,LS29 6JH,http://the1875.co.uk/
Out of the Woods- Granary Wharf,Granary Wharf,Waterman's Place,Leeds,,LS1 4GL,
LIVINitaly,Granary Wharf,Leeds,,,LS1 4BR,http://www.livinitaly.com
Opposite Cafe University,26 Blenheim Terrace,Leeds,,,LS2 9HD,http://www.oppositecafe.co.uk
Ciao Bella,20 Dock Street,Brewery Wharf,Leeds,,LS10 1JF,http://www.ciaobellarestaurantleeds.co.uk
Vanilla One,Corn Exchange,Leeds,,,LS1 7BR,http://www.leedscornexchange.co.uk/eating/vanilla-one
Jake's Bar,27 - 33 Call Lane,Leeds,,,LS1 7BT,http://www.jakesbar.co.uk
The Garden Gate,3 Whitfield Place,Hunslet,Leeds,,LS10 2QB,http://www.gardengateleeds.co.uk
Further North,194 Harrogate Road,Chapel Allerton,,,LS7 4NZ,http://northbar.com/further-north/
The Junction,44 Bondgate,Otley,,,LS21 1AD,https://www.facebook.com/Junctioninnotley
The Otley Tavern,Newmarket,Otley,,,LS21 3AE,http://www.theotleytavern.com
The Bowling Green,18 Bondgate,Otley,,,LS21 3AB,http://www.jdwetherspoon.com/pubs/all-pubs/england/west-yorkshire/the-bowling-green-otley
The Cross Pipes,36 Westgate,Otley,West Yorkshire,,LS21 3AS,http://www.otleypubclub.co.uk/otley-pubs-present/the-cross-pipes
The Rose and Crown,20 Bondgate,Otley,,,LS21 1AD,http://www.otleypubclub.co.uk/otley-pubs-present/the-rose-and-crown
The Old Cock,11 Crossgate,Otley,West Yorkshire,,LS21 1AD,http://www.theoldcockotley.co.uk
